date,ADA,BTC,DOGE,ETC,ETH,XRP
2018-01-01,4.539531774,1.353123337,3.592018962,3.415338573,1.944889701,5.963500168
2018-01-02,4.940023452,1.714122149,3.741060021,3.519243124,2.429835628,6.234303096
2018-01-03,7.146128854,1.773766512,3.851577756,3.511795743,2.769358137,8.11600227
2018-01-04,7.402033606,1.882265163,4.056193448,3.713530746,2.848309507,8.390993649
2018-01-05,6.551287691,2.380971744,5.649543418,3.697096275,2.921170795,7.945270169
2018-01-06,6.756182294,2.407537824,7.352148063,4.005717611,3.111847854,8.081650947
2018-01-07,6.617833323,2.121604951,8.757302119,4.334170847,3.595436191,8.93693862
2018-01-08,5.804537428,1.765347002,7.467086507,3.417890146,3.575310105,6.159905363
2018-01-09,5.178818379,1.6087572,6.440850399,3.991405198,4.231183995,5.091910683
2018-01-10,5.018250401,1.711724445,6.240023886,3.80148651,4.040680605,4.709646752
2018-01-11,4.240666809,1.284623614,5.208735539,3.224781922,3.603070242,4.636966584
2018-01-12,5.793442777,1.441240821,6.21097351,3.725443866,4.116066456,4.915483494
2018-01-13,5.694051332,1.544671588,6.190133023,4.556182382,4.650534167,4.84955306
2018-01-14,5.086132738,1.384403139,5.34451447,4.634318375,4.521927053,4.366947107
2018-01-15,4.910318896,1.397427279,4.190709319,4.292911864,4.197264944,3.811118597
2018-01-16,3.780847706,0.762756859,2.274016033,2.623349627,3.163940793,2.312044948
2018-01-17,3.800222502,0.680497269,2.795659741,2.715757121,2.992869871,2.695032065
2018-01-18,4.028509443,0.758506392,2.998380843,2.86312634,3.088425221,3.569604691
2018-01-19,3.959112173,0.794609014,2.936490912,3.073668001,3.100656754,3.435423603
2018-01-20,4.382491212,1.146589092,3.300883672,3.532002792,3.604024363,3.515486292
2018-01-21,3.681857272,0.792619752,2.469158776,2.881974113,3.146113715,2.917110354
2018-01-22,3.364724005,0.610417524,2.218441401,2.7353122,2.945200739,2.848739168
2018-01-23,3.30985969,0.593251749,2.179918076,2.610756939,2.871328674,2.787629973
2018-01-24,3.7490267,0.727035805,2.438845341,2.782396335,3.186019073,2.848136514
2018-01-25,3.862550087,0.699788543,2.80765881,2.725548599,3.174090936,2.712780248
2018-01-26,3.757744987,0.675810952,2.536100947,2.670198132,3.170360747,2.426639756
2018-01-27,3.709111203,0.749187777,2.621989015,2.767057634,3.395476807,2.43218418
2018-01-28,4.106060612,0.843354208,2.680089767,3.23957988,3.998129963,2.976049992
2018-01-29,3.756423134,0.70987003,2.365587871,3.07513795,3.722047692,2.748156084
2018-01-30,3.078483476,0.385600208,1.770055163,2.439782688,3.23958715,2.189464964
2018-01-31,2.984928976,0.41688001,1.761213744,2.664942014,3.444230848,2.261271282
2018-02-01,2.259818482,0.130631292,1.1416829,2.139704504,3.090637392,1.659038354
2018-02-02,2.028583365,0.03804781,0.791815328,1.876586681,2.56577737,1.424768359
2018-02-03,2.387280732,0.131822029,1.226939438,2.032457445,2.774992603,1.54306648
2018-02-04,1.945180397,-0.112831242,0.743819054,1.594301966,2.213992888,1.216608382
2018-02-05,1.559526145,-0.472969132,0.19691415,0.968738182,1.620921479,0.843251689
2018-02-06,1.874260769,-0.255337082,0.719820918,1.365620255,2.033726209,1.098156584
2018-02-07,1.656630339,-0.291494252,0.679403003,1.19489578,1.877341751,0.939965729
2018-02-08,1.776465944,-0.115942858,0.84928455,1.699163877,2.140797499,1.185149802
2018-02-09,2.036514481,0.012498181,1.123368532,2.282275273,2.4273243,1.634624809
2018-02-10,2.142485485,-0.01885799,1.116421703,2.076671026,2.325609767,1.985104726
2018-02-11,1.874379588,-0.152895493,1.095581216,2.023068439,2.127147225,1.784480948
2018-02-12,1.982400206,0.064156222,1.421450651,2.820868392,2.361576319,2.01605105
2018-02-13,1.900705251,-0.025285842,1.526284616,3.386685732,2.259866288,1.854539567
2018-02-14,2.075917575,0.218936901,2.215915281,3.536537735,2.59950581,2.198685583
2018-02-15,2.168447267,0.40197597,2.605569238,3.465806823,2.657693602,2.214475138
2018-02-16,2.127172787,0.420367872,2.407900375,3.535455833,2.689071149,2.187867929
2018-02-17,2.246533119,0.659816758,2.417373324,3.528868176,2.818784083,2.389606619
2018-02-18,1.992076465,0.50698676,2.022667128,3.514098094,2.601067516,2.134924706
2018-02-19,2.035549083,0.690497069,2.195074794,4.126264526,2.687574571,2.20712275
2018-02-20,1.9412891,0.73910629,2.44579217,4.011958272,2.477231549,2.041513214
2018-02-21,1.834813119,0.544751623,2.121817324,3.757230906,2.280308999,1.818320014
2018-02-22,1.637500605,0.357998783,1.918464692,3.226529246,2.119274646,1.596537026
2018-02-23,1.692357494,0.438677819,2.164129829,3.952322639,2.341979717,1.76849553
2018-02-24,1.526814002,0.305703199,1.959514137,4.063675126,2.239293587,1.634546463
2018-02-25,1.683260473,0.265284653,1.844575693,3.726678185,2.257923095,1.601656578
2018-02-26,1.640946333,0.456552184,1.968987085,3.680412167,2.364213661,1.641950077
2018-02-27,1.62016057,0.554342446,1.93867365,3.70383635,2.403034383,1.613161258
2018-02-28,1.449693548,0.465053382,1.766265983,3.349656442,2.30298533,1.484428169
2018-03-01,1.388918027,0.615757881,1.890677376,3.358906899,2.376727405,1.556035611
2018-03-02,1.308025094,0.65265078,1.42776595,2.943523634,2.310159788,1.501184986
2018-03-03,1.334774047,0.762538935,1.313459036,2.725021309,2.311773118,1.494133925
2018-03-04,1.362109665,0.768778397,1.440396548,2.793685499,2.352775562,1.788639266
2018-03-05,1.338605935,0.78531754,1.261042053,2.399494242,2.29641421,1.649510382
2018-03-06,1.247524339,0.569137922,0.877071866,2.157553726,2.137084517,1.539583135
2018-03-07,0.964766669,0.347255273,0.506995337,1.744029289,1.858963749,1.383866178
2018-03-08,0.775117931,0.191793147,0.507626867,1.820390637,1.649744279,1.247205166
2018-03-09,0.778563659,0.17613688,0.584041986,1.793748626,1.755232424,1.319234466
2018-03-10,0.68696966,0.04765247,0.474787311,1.576868945,1.572944454,1.159127169
2018-03-11,0.788150805,0.241824601,0.624459901,1.668915852,1.731042044,1.263070053
2018-03-12,0.78981426,0.140053417,0.512047576,1.519646614,1.629076009,1.172448853
2018-03-13,0.784645667,0.137254984,0.466577423,1.439887421,1.590021257,1.138287366
2018-03-14,0.610398741,-0.114793098,0.191230381,1.055417881,1.258045967,0.873694795
2018-03-15,0.507524437,-0.10633261,0.19880874,1.23033058,1.245089841,0.859734297
2018-03-16,0.456796481,-0.096117814,0.182388962,1.141931156,1.203284972,0.835600986
2018-03-17,0.277715138,-0.210956774,0.04913615,0.939835564,0.991237285,0.680706653
2018-03-18,0.288052323,-0.127362228,-0.01970061,1.004824813,0.929926615,0.743747357
2018-03-19,0.596185111,-0.016473854,0.138181868,1.402525004,1.008357506,1.015855033
2018-03-20,0.650388499,0.060586671,0.27143468,1.479094244,1.010304937,0.897517739
2018-03-21,0.711594737,0.064894612,0.276486919,1.422551482,1.030070976,0.848871445
2018-03-22,0.63950178,0.010179236,0.1937565,1.404369548,0.934515885,0.755698001
2018-03-23,0.53388723,0.051363579,0.213965457,1.317162975,0.934155842,0.696731244
2018-03-24,0.533456514,-0.00626438,0.232911355,1.242327051,0.876987563,0.690978904
2018-03-25,0.499325979,-0.053222269,0.179231312,1.185520504,0.867653084,0.692817001
2018-03-26,0.374574269,-0.131252945,0.042820851,0.96274702,0.718720537,0.565018027
2018-03-27,0.278925599,-0.233800836,-0.048119456,0.883015426,0.545936079,0.500094027
2018-03-28,0.317036544,-0.200711777,-0.050645576,0.909366055,0.529293052,0.500350155
2018-03-29,0.219189736,-0.415632671,-0.248945969,0.712027584,0.267693795,0.299994558
2018-03-30,0.221618084,-0.490611734,-0.289363883,0.672543248,0.305330331,0.294130727
2018-03-31,0.286299755,-0.467993846,-0.253998208,0.669367303,0.313189941,0.302531734
2018-04-01,0.248047712,-0.503224502,-0.317151199,0.559499051,0.240102964,0.220353728
2018-04-02,0.289760335,-0.437948285,-0.267891866,0.636012955,0.269676039,0.267381894
2018-04-03,0.409038981,-0.336503988,-0.152321892,0.7797487,0.401831201,0.440211234
2018-04-04,0.282118838,-0.500606078,-0.284943174,0.568818852,0.244162885,0.270223411
2018-04-05,0.233121173,-0.512150641,-0.320308849,0.578915304,0.255826418,0.252656024
2018-04-06,0.201136792,-0.559874327,-0.348096165,0.500445905,0.199668785,0.194288908
2018-04-07,0.233388514,-0.48500702,-0.264734217,0.544770436,0.264857102,0.228748709
2018-04-08,0.291349529,-0.454372876,-0.23884149,0.634861849,0.33076115,0.266508044
2018-04-09,0.265410026,-0.52325124,-0.289363883,0.567237814,0.322164238,0.240765645
2018-04-10,0.289478142,-0.505804876,-0.112535508,0.570053171,0.39033684,0.240994654
